Palabra,Nivel de Intensidad,Sentimiento Asociado,Categoría,Comentarios
#Elecciones,,,,
#Elecciones2024,,,,
#Elecciones2024MX,,,,
#Elecciones2024Mx,,,,
#EleccionesEdomex2024,,,,
#EleccionesMexico2024,,,,
#EleccionesMx20224,,,,
#EleccionesMx2024,,,,
#EleccionesMéxico,,,,
#EleccionesMéxico2024,,,,
#EleccionesMéxico2024,,,,
#EleccionesMéxico2024.,,,,
#EleccionesMéxico2024:,,,,
#Eleccionesalmomento,,,,
#En2024Eliges,,,,
#Encuestas,,,,
#Enterate,,,,
#EsClaudiaPresidentaDeMéxico,,,,
#EsUnHonorEstarConObrador,,,,
#Estados,,,,
#Hastaahora🧐,,,,
#Internacional,,,,
#InundemosLasUrnas,,,,
#JalpadeMéndez,,,,
#LOÚLTIMO,,,,
#LlegamosJuntas,,,,
#Madrid,,,,
#MetroBus,,,,
#MiVotoEsDeAgradecimientoAmlo,,,,
#MisiónCumplida,,,,
#México,,,,
#Nacional,,,,
#Oaxaca,,,,
#PAN,,,,
#PRIANCorrupto,,,,
#PlanC,,,,
#PlanC_YaEstáEnMarcha,,,,
#Plan_C,,,,
#ProtegeTuVoto,,,,
#PueblaYaDecidió,,,,
#QuintanaRoo,,,,
#Reporte,,,,
#ReporteRMx,,,,
#Ruta2024,,,,
#TODOMORENA,,,,
#Taboada,,,,
#TaboadaJefedeGobierno,,,,
#TiempoDeMujeres,,,,
#TodoMorena,,,,
#TodosVotan,,,,
#TuVoto2024,,,,
#Tuxtepec,,,,
#UltimaHora,,,,
#Urgente,,,,
#Vota,,,,
#VotaMéxico2024,,,,
#VotaPorMéxico,,,,
#VotaTodoMorena,,,,
#VotaXingón,,,,
#VotarSalvaAMéxico,,,,
#VotoMasivoMorenaPTyPV,,,,
#VotoPorMéxico,,,,
#XochitlALV,,,,
#XochitlGalvezPresidenteDeMėxico,,,,
#XochitlGálvezPresidenta,,,,
#XochitlGálvezPresidenta,,,,
#XochitlGálvezPresidenta24,,,,
#XochitlYaGanó,,,,
#XoxhitlGálvezPresidente2024,,,,
#XóchitlGálvezPresidenta,,,,
#XóchitlGálvezPresidenta,,,,
#XóchitlGálvezPresidenta,,,,
#YaVoté,,,,
#YoVotarePorXóchitl,,,,
#YoVotaréPorXóchitl,,,,
#YoVotePorXochitl,,,,
#YoVotePorXochitl,,,,
#YoVotePorXóchitl,,,,
#YoVotePorXóchitl,,,,
#YoVotoMorena,,,,
#YoVotéPorXochitl,,,,
#YoVotéPorXochitl,,,,
#YoVotéPorXóchitl,,,,
#YoVotéPorXóchitl,,,,
#YoYaVotéPorXochitl,,,,
#YoYaVotéXXóchitl,,,,
#YovoteporXochitl,,,,
#fraude,,,,
#votaciones2024,,,,
#yavotéporxóchitl,,,,
#yovotoporxochitl,,,,
#yovotéporxóchitl,,,,
#yovotéporxóchitl,,,,
#ÚLTIMAHORA,,,,
#ÚltimaHora,,,,
#Últimahora,,,,
#𝐘𝐨𝐕𝐨𝐭é𝐏𝐨𝐫𝐗ó𝐜𝐡𝐢𝐭𝐥,,,,
#ElecciónPresidencial,,,,
#ElecciónPresidencial,,,,
#ElecciónPresidencial,,,,
📌#ATENCIÓN,,,,
🔴#Mexico|,,,,
🗳️#EleccionesMéxico2024:,,,,
🗳️#Urna2024:,,,,
🚨#AlertaADN,,,,
#,,,,
##XochitlGálvezPresidenta24,,,,
#2DeJunio,,,,
#2DeJunio,,,,
#2Jun24,,,,
#2deJunio,,,,
#2dejunio,,,,
#35porClaudia,,,,
#4T,,,,
#4T!,,,,
#4T,,,,
#4taTransformacion,,,,
#4taTransformación,,,,
#4taTransformación,,,,
#4transformación,,,,
#6de6,,,,
#ABCDNoticias,,,,
#AGS,,,,
#AMLO,,,,
#AMLOElMejorPresidente,,,,
#AMLOLujoDePresidente,,,,
#AMLOYClaudiaSonLaMuerte,,,,
#AMLOelMejorPresidenteDelMundo,,,,
#AMLOlidermundial,,,,
#ARPregunta,,,,
#AbreLosOjos,,,,
#Acapulco,,,,
#AcciónNacional,,,,
#ActasCapturadas,,,,
#Acustik,,,,
#Ags,,,,
#Aguascalientes,,,,
#AhoraTabasco,,,,
#AlAire,,,,
#AlMomento,,,,
#AlMomento:,,,,
#Alcalde,,,,
#Almomento,,,,
#AlvarezMaynez,,,,
#Amexinoticias,,,,
#Amlo,,,,
#AmloElMejorPresidenteDelMundo,,,,
#AmloEsLaFuerzaDelAmor,,,,
#AmloEsLaFuerzaDelAmor,,,,
#AmloEsParaSiempre,,,,
#AmoAMexico,,,,
#AmorConAmorSePaga,,,,
#AmorConAmorSePaga,,,,
#ArmentaGobernador,,,,
#Azc4poTzalco,,,,
#Azcapotzalco,,,,
#BajaCalifornia,,,,
#BloqueoReforma,,,,
#Bloqueos,,,,
#BonillaAlcaldeCUU,,,,
#Brutarga,,,,
#BuenDomingo,,,,
#ByeByeMorena,,,,
#ByeByeMorena,,,,
#CDMX,,,,
#CDMX,,,,
#CDMX).,,,,
#CDMX.,,,,
#CDMX;,,,,
#CHASPM,,,,
#COMUNICANTEMX,,,,
#COVID19.,,,,
#Canal10,,,,
#Cancun,,,,
#Candidata,,,,
#Candidatos2024,,,,
#CarroCompletoMorena,,,,
#CasaDeLasLetras,,,,
#Casilla24,,,,
#CasillaEspecial,,,,
#CdDelCarmen,,,,
#CdVictoria.,,,,
#Celaya,,,,
#ChairoHastaLasChanclas.,,,,
#Chicago,,,,
#Chihuahua:,,,,
#CierreDeCampaña.,,,,
#CitlaHM,,,,
#CiudadDeMéxico,,,,
#CiudadDeMéxico.,,,,
#CiudadJuárez,,,,
#Clara,,,,
#ClaraBrugada,,,,
#ClaraBrugadaJefaDeGobierno,,,,
#ClaraBrugadaJefaDeGobierno,,,,
#ClaraJefaDeGobierno,,,,
#ClaraJefaDeGobierno,,,,
#ClaraTriunfadora,,,,
#Claudia,,,,
#ClaudiaArrasa,,,,
#ClaudiaArrasa,,,,
#ClaudiaArrasará,,,,
#ClaudiaArrasará,,,,
#ClaudiaArrasará,,,,
#ClaudiaArrazará,,,,
#ClaudiaEsUnPeligroParaMx,,,,
#ClaudiaEsUnPeligroParaMéxico,,,,
#ClaudiaPresidenta,,,,
#ClaudiaPresidenta,,,,
#ClaudiaPresidenta2024,,,,
#ClaudiaPresidenta2024,,,,
#ClaudiaPresidentaDeMexico,,,,
#ClaudiaPresidentaDeMexico2024,,,,
#ClaudiaPresidentaDeMexico2024,,,,
#ClaudiaPresidentaDeMéxico,,,,
#ClaudiaPresidentaDeMéxico,,,,
#ClaudiaPresidentaDeMéxico2024,,,,
#ClaudiaPresidentaDeMéxico2024,,,,
#ClaudiaPresidentaDeMéxico2024,,,,
#ClaudiaPresidentaDeMéxico2024.,,,,
#ClaudiaPresidente2024,,,,
#ClaudiaPrimeraPresidenta,,,,
#ClaudiaSheimbaumPresidenta,,,,
#ClaudiaSheinbaum,,,,
#ClaudiaSheinbaum,,,,
#ClaudiaSheinbaumPresidenta,,,,
#ClaudiaSheinbaumPresidenta?,,,,
#ClaudiaSheinbaumPresidentaDeMexico2024,,,,
#ClaudiaYaEresPresidenta,,,,
#ClaudiaYaEresPresidenta,,,,
#ClaudiaesPatria,,,,
#CoberturaNVI,,,,
#CoberturaTotal,,,,
#CochitlGalvez.,,,,
#ComunicanteMX,,,,
#CoracytNoticias,,,,
#CortInformativo,,,,
#Coyoacán,,,,
#Cuajimalpa,,,,
#CuartaTransformación,,,,
#CuartaTransformación!,,,,
#CubazuelaDelNorte,,,,
#CuentenleBien,,,,
#Democracia,,,,
#Destino2024,,,,
#DiariodeMexico,,,,
#DiariodeMexico,,,,
#DivideYVenceras,,,,
#Domingo,,,,
#ENVIVO,,,,
#EdoMex,,,,
#EdoMéx.,,,,
#Edomex,,,,
#Edomex.,,,,
#Edomex?,,,,
#Edoméx,,,,
#EduardoRivera,,,,
#ElCambioViene,,,,
#ElPRIANPRDNoMeRepresenta,,,,
#ElPRIANPRDNoVa,,,,
#ElPRIANYaChingóASuMadre,,,,
#ElPuebloManda,,,,
#Elcciones2024,,,,
#EleccionPresidencial,,,,
#EleccionPresidencial2024,,,,
#EleccionPresidencial2024,,,,
#Elecciones,,,,
#Elecciones,,,,
#Elecciones2024,,,,
#Elecciones2024,,,,
#Elecciones2024?,,,,
#Elecciones2024MX,,,,
#Elecciones2024MX,,,,
#Elecciones2024Mx,,,,
#Elecciones2024Mx,,,,
#Elecciones2024RS,,,,
#Elecciones2024mx,,,,
#EleccionesAhora,,,,
#EleccionesEdomex,,,,
#EleccionesEdomex2024,,,,
#EleccionesEnELPAÍS,,,,
#EleccionesHidalgo,,,,
#EleccionesHidalgo,,,,
#EleccionesLocales,,,,
#EleccionesMX2024,,,,
#EleccionesMX2024,,,,
#EleccionesMexico2024,,,,
#EleccionesMexico2024,,,,
#EleccionesMx2024,,,,
#EleccionesMx2024,,,,
#EleccionesMéxico,,,,
#EleccionesMéxico,,,,
#EleccionesMéxico2024,,,,
#EleccionesMéxico2024!,,,,
#EleccionesMéxico2024,,,,
#EleccionesMéxico2024,,,,
#EleccionesMéxico2024.,,,,
#EleccionesMéxico2024.,,,,
#EleccionesMéxico2024🇲🇽,,,,
#EleccionesMéxico2024💗,,,,
#EleccionesMéxico24,,,,
#EleccionesOaxaca2024.,,,,
#EleccionesPresidenciales,,,,
#EleccionesQuerétaro,,,,
#EleccionesconSíntesis,,,,
#ElecciónPresidencial,,,,
#ElecciónPresidencial,,,,
#ElectionsDay,,,,
#Elige2024,,,,
#Elige2024,,,,
#ElijoCreer,,,,
#En2024Eliges,,,,
#EnEquipoEsMejor,,,,
#EnVivo!,,,,
#EnVivo,,,,
#EncuestaDeSalida,,,,
#EnfoqueElectoral2024,,,,
#Ensenada,,,,
#Enterate,,,,
#EsClaudia,,,,
#EsClaudiaPresidenta2024,,,,
#EsClaudiaPresidenta2024,,,,
#EsClaudiaPresidentaDeMéxico,,,,
#EsClaudiaPresidentaDeMéxico,,,,
#EsHonorEstarConObrador,,,,
#EsHoraDeVotar,,,,
#EsPorMéxico!!!,,,,
#EsUnHonorEstarConClaudiaHoy,,,,
#EsUnHonorEstarConClaudiaHoy!!!__,,,,
#EsUnHonorEstarConClaudiaHoy,,,,
#EsUnHonorEstarConObrador,,,,
#EsUnHonorEstarConObrador!,,,,
#EsUnHonorEstarConObrador,,,,
#EsUnHonorEstarConObradorYClaudia,,,,
#EsUnHonorLucharConObrador,,,,
#EsUnUnHonorEstarConObrador,,,,
#EstadoDeMéxico,,,,
#F1,,,,
#F1,,,,
#FALSA.,,,,
#Fake,,,,
#FelizDomingo,,,,
#FelizDomingo,,,,
#FueraGobiernoRateroyCorrupto,,,,
#FueraLosCriminalesDeMORENA,,,,
#FueraMorena,,,,
#FueraMorena,,,,
#FueraMorenaYLopez2024,,,,
#Fueramorena,,,,
#FuerzaYCorazonXMéxico,,,,
#FuerzayCorazónporMéxico,,,,
#FuncionarioDeCasilla,,,,
#Fórmula1,,,,
#GacetaMéxico,,,,
#Ganadora,,,,
#Ganamos,,,,
#GarciaLuna,,,,
#GigaNathi,,,,
#GraciasAMLO,,,,
#GraciasAMLO,,,,
#GraciasPorTanto,,,,
#GraciasPorTodo,,,,
#Guanajuato,,,,
#Guanajuato,,,,
#Guerrero,,,,
#HIDALGO,,,,
#HalaMadrid,,,,
#HastaEncontarles,,,,
#HastaLaVictoria,,,,
#HeraldoMuñoz,,,,
#Houston,,,,
#HoyGanaMexico,,,,
#HoyVotoPorXóchitl,,,,
#HuachoGobernador,,,,
#Huitzilac,,,,
#INE,,,,
#INE,,,,
#INEMexico,,,,
#INEMéxico,,,,
#INEMéxico,,,,
#Illinois,,,,
#InundemosLasUrnas,,,,
#InundemosLasUrnas,,,,
#Inundemoslasurnas,,,,
#Iztapalapa.,,,,
#JLMNoticias,,,,
#Jalisco,,,,
#Jalisco,,,,
#JarochosConPepe,,,,
#JesúsHernández,,,,
#Jiquipilco,,,,
#JorgeMedrano,,,,
#JornadaElectoral,,,,
#JornadaElectoral2024,,,,
#JuntosHaremosHistoria,,,,
#Juriquilla.,,,,
#LA,,,,
#La4taDe5taSeACABO,,,,
#LaFuerzaDeTuVoto,,,,
#LaFuerzaDeTuVoto,,,,
#LaListaNews,,,,
#LaRutaEsClara,,,,
#LaVictoriaConClaudia,,,,
#LaloGobernador,,,,
#Latinos,,,,
#Linea4,,,,
#LlegamosTodas,,,,
#LosBotsNoVotan,,,,
#Losbotsnovotan,,,,
#META2024,,,,
#MEXICO,,,,
#MORENA,,,,
#MORENA2024,,,,
#MORENA2024,,,,
#MXSinMiedo,,,,
#Madrid,,,,
#Mainez,,,,
#MarcaPersonal,,,,
#MareaRosa,,,,
#MareaRosaConXóchitl,,,,
#MareaRosaConXóchitl,,,,
#Matehuala,,,,
#MatrixTelevisionMx,,,,
#Maynez,,,,
#MenosPeor.,,,,
#Merida,,,,
#Merida.,,,,
#MetroBusCDMX,,,,
#MexicanosAlGritoDelVoto,,,,
#Mexico,,,,
#Mexico,,,,
#Mexico,,,,
#Mexico.,,,,
#Mexico2024,,,,
#MexicoCity,,,,
#MexicoConClaudiaSheinbaum,,,,
#MexicoConClaudiaSheinbaum,,,,
#MexicoConXochitl,,,,
#MexicoConXóchitlGálvez,,,,
#MexicoConXóchitlGálvez,,,,
#MexicoDespertó,,,,
#MexicoDespertó💗,,,,
#MexicoDespierta,,,,
#MexicoLibre,,,,
#MexicoLibre💗,,,,
#MexicoMereceMás,,,,
#MexicoMereceMás💗,,,,
#MexicoNoSeraComunista,,,,
#MexicoSinMiedo,,,,
#MexicoSinMiedo,,,,
#MexicoVaConX,,,,
#MexicoXingon,,,,
#MiVotoEsParaXóchitl,,,,
#MiVotoEsParaXóchitl,,,,
#MiVotoPorXochitl,,,,
#Michoacán.,,,,
#MisionOCAIDC,,,,
#MivotoEsParaXochitlGalvez,,,,
#MivotoEsParaXochitlGalvez,,,,
#Monterrey,,,,
#Morelia,,,,
#Morena,,,,
#Morena,,,,
#Morena,,,,
#MorenaAChingarASuMadre,,,,
#MorenaDestruyendoMexico,,,,
#MorenaVa,,,,
#MorenaVa,,,,
#MorenaYaSeVa,,,,
#MorenaYaSevan,,,,
#MovimientoCiudadano,,,,
#MueraMorena,,,,
#MxSinMiedo,,,,
#MxSinMiedoYConX,,,,
#Máynez,,,,
#México,,,,
#México,,,,
#México,,,,
#México.,,,,
#México2024,,,,
#MéxicoreazuelaDelNorte,,,,
#Méxicovota2024,,,,
#NY,,,,
#Nacional,,,,
#NahleGobernadora,,,,
#NarcoCandidata,,,,
#NarcoCandidataClaudia100,,,,
#NarcoCandidataClaudia68,,,,
#NarcoMorena.,,,,
#NarcoPRIAN,,,,
#NarcoPresidente,,,,
#NarcoPresidenteAML061,,,,
#NarcoPresidenteAMLO101,,,,
#NarcoPresidenteAMLO80,,,,
#NiUnSoloVotoPorMORENA,,,,
#NiUnVotoALaDerecha,,,,
#NiUnVotoALasRatasDelPrian,,,,
#NiUnVotoALosCorruptosDelPRIAN,,,,
#NiUnVotoAlNarcoPRIANRD,,,,
#NiUnVotoAlNarcoPartidoMorena,,,,
#NiUnVotoAlPRIANPRD,,,,
#NoEraMiGallo,,,,
#NosUnimosONosHundimos,,,,
#Noti13Elecciones,,,,
#Noticias,,,,
#NoticiasMatrixMx,,,,
#NoticiasRedMX,,,,
#NuevoLeon,,,,
#NuevoLeón,,,,
#OEA,,,,
#Oaxaca,,,,
#Oaxaca.,,,,
#ObservaciónElectoral,,,,
#OposicionMasPendejaYCorruptaQueHaExistido,,,,
#OposicionMiserableMezquinaVendePatriasYMentirosa,,,,
#OrgulloMexicano,,,,
#Orgullosamentedel,,,,
#PAN,,,,
#PRD,,,,
#PRD,,,,
#PREP,,,,
#PREP,,,,
#PREPAtizapándeZaragoza,,,,
#PRI,,,,
#PRI,,,,
#PRIANCorrupto,,,,
#PRIANRD,,,,
#PUEBLA,,,,
#Pan,,,,
#ParaisoTabasco,,,,
#PlanC,,,,
#PlanC,,,,
#PlanCYaEstaEnMarcha,,,,
#PlanCYaEstaEnMarcha,,,,
#PlanC_,,,,
#PlanC_,,,,
#PlanC_ConVotoMasivoPorMorena2024,,,,
#PlanC_EsElObjetivo,,,,
#PlanC_VotoMasivoPorMorena2024,,,,
#PlanC_YaEstáEnMarcha,,,,
#PlanC_YaEstáEnMarcha,,,,
#PlazaSanDiego,,,,
#Politica,,,,
#PoliticosVoraces,,,,
#Politikmnte,,,,
#PorAmorAVeracruz,,,,
#PorQueNoVotaréPorClaudia,,,,
#PorQuéNOVotaréPorClaudia,,,,
#Prep,,,,
#PresidenciaDeLaRepública,,,,
#PresidenciaDeLaRepública,,,,
#Presidenta,,,,
#PresidentadeMexico,,,,
#Pri,,,,
#PriandillaInmobiliaria,,,,
#PrimeroLosPobres,,,,
#ProcesoElectoral2024.,,,,
#Progres,,,,
#Protestas,,,,
#Puebla,,,,
#Puebla,,,,
#Puebla.,,,,
#Puebla;,,,,
#PuebloDecide,,,,
#PuebloInformado,,,,
#PuebloOrganizado,,,,
#QueChingueSuMadreElCártelMorena,,,,
#QueSigaLa4T,,,,
#QueSigaLa4T,,,,
#QueSigaLaTransformacion,,,,
#QueSigaLaTransfrormación,,,,
#Queretaro,,,,
#Querérato,,,,
#Querétaro,,,,
#Querétaro,,,,
#Querétaro...,,,,
#QuintanaRoo,,,,
#QuintanaRoo.,,,,
#QuéPinchesNervios,,,,
#RTenEspañol,,,,
#Reacciónmx,,,,
#RebeldeConCausa,,,,
#Reforma,,,,
#Reto2024,,,,
#RocioGobernadora,,,,
#Ruta2024,,,,
#SLP,,,,
#SOMOSAMER1C4,,,,
#SalvemosAMexico,,,,
#SalyVota,,,,
#SamuelFacturero,,,,
#SanBernardinochalchihuapan,,,,
#SanLuisPotosí,,,,
#SantiagoTaboadaJefedeGobierno,,,,
#SenadoraDelPueblo,,,,
#SepaMasMx,,,,
#Sheinbaum,,,,
#SheinbaumPresidenta,,,,
#Shellroofingsolutions,,,,
#SiNoVotasNoCuentas,,,,
#SiSePuedeMexico💗,,,,
#SigamosHaciendoHistoria,,,,
#SigamosHaciendoHistoria,,,,
#Simpatizantes,,,,
#Sintexto,,,,
#SomosMillonesConAMLO,,,,
#SubrayadoMX,,,,
#SuguiremosHaciendoHistoria,,,,
#SíHayDeOtra,,,,
#TWS_hey_hey,,,,
#Tabasco,,,,
#Taboada2024,,,,
#TaboadaSeHunde,,,,
#Tamaulipas,,,,
#Televisa,,,,
#Texas,,,,
#Tijuana,,,,
#Tijuana,,,,
#TikTok,,,,
#TodoMORENA,,,,
#TodoMorena,,,,
#TodoMorena,,,,
#TodosConAMLOySusReformas,,,,
#Toluca,,,,
#Toluca,,,,
#TomaNota,,,,
